name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
UC Davis Energy Conservation Office,False,2017-02-01,eco6800,0,5,951,37,2021-02-11,University of California Davis,,,DMFinal,https://public.tableau.com/app/profile/eco6800,United States,California,Davis
Darshana,False,2020-01-01,darshanasuresh,46,32,496,21,2021-11-11,,,,trial_15871959269380,https://public.tableau.com/app/profile/darshanasuresh,United States,California,
Salma Kibrya,False,,salma7330,0,8,61,13,2019-12-11,"Department of Water Resources, State of California",,,,https://public.tableau.com/app/profile/salma7330,United States,California,Sacramento
Katie Poznanski-Ring,False,2016-06-01,katie.poznanski.ring,331,93,45,10,2021-01-27,,,,,https://public.tableau.com/app/profile/katie.poznanski.ring,United States,California,
Anuka Mythri,False,2020-07-01,anuka.mythri,48,10,43,10,2021-05-28,California State University East Bay,,,TeslaStockTimeline_16167749238470,https://public.tableau.com/app/profile/anuka.mythri,United States,California,San Francisco
Scott Willis,False,2015-10-01,scott.willis,0,52,109,7,2020-03-03,,,,,https://public.tableau.com/app/profile/scott.willis,United States,California,
Jesi Vasquez,False,2018-05-01,jesi.vasquez,1,3,6,1,2018-05-22,"University of California, Santa Barbara",,,,https://public.tableau.com/app/profile/jesi.vasquez,United States,California,
Froylan Fernandes,False,2017-03-01,froylan.fernandes,3,4,24,3,2021-10-02,"University of California, Berkeley",,,,https://public.tableau.com/app/profile/froylan.fernandes,United States,California,Berkeley
Riddhi Thakkar,False,2018-09-01,riddhi1180,362,795,191,76,2021-05-10,,,Tableau Public Featured Author | Data Lover,AutismSpectrumDisorderWorldwideProjectHealthVizOct19,https://public.tableau.com/app/profile/riddhi1180,United States,California,
Kanchan,False,2016-05-01,kanchan2095,10,24,56,9,2016-09-25,,,,,https://public.tableau.com/app/profile/kanchan2095,United States,California,
Irvin Palacios,False,2016-08-01,irvin.palacios,5,7,98,7,2020-10-25,"University of California, San Diego",,,EPL_Standings1819,https://public.tableau.com/app/profile/irvin.palacios,United States,California,La Jolla
IERP,False,2015-03-01,svetlana6591,43,23,328,38,2021-11-12,,,,,https://public.tableau.com/app/profile/svetlana6591,United States,California,
Ben Juliano,False,2016-06-01,ben.juliano,1,5,115,13,2021-06-03,"California State University, Chico",,,CSCIDeptProgramAssessmentResults,https://public.tableau.com/app/profile/ben.juliano,United States,California,Chico
Eric Brown,False,2015-11-01,eric.brown2263,2,162,46,12,2020-02-08,,,,SportsAnalytics-TheRoadto1Billion,https://public.tableau.com/app/profile/eric.brown2263,United States,California,San Francisco
Soham Wadekar,False,2017-08-01,soham.wadekar,57,91,54,25,2021-07-26,Snap Inc,,,YelpReviewsAnalysis,https://public.tableau.com/app/profile/soham.wadekar,United States,California,
AdamGIbbs,False,2020-10-01,adamgibbs,14,15,25,18,2021-05-29,,,,ThoughtsofDisneyland,https://public.tableau.com/app/profile/adamgibbs,United States,California,
Mike Roberts,False,,mikeyroro,0,75,160,22,2018-06-07,,,,CivicDataChallenge-VolunteerMetrics,https://public.tableau.com/app/profile/mikeyroro,United States,California,San Diego
